find out mor,en,vi,Cn,kor,es,ja
open_beta_access_title,Feature Under Development,Tính năng đang được phát triển,正在开发的功能,개발 중인 기능,Función en desarrollo,開発中の機能
open_beta_access_details,This feature is under development. Access to the Multiverse will be available in the near future. Stay tuned!,Tính năng này đang được phát triển. Truy cập vào Multiverse sẽ khả dụng trong tương lai gần. Hãy kiên nhẫn nhé!,此功能正在开发中。 对多元宇宙的访问将在不久的将来提供。 敬请关注！,이 기능은 개발 중입니다. 메타버스에 대한 액세스는 가까운 시일 내에 사용할 수 있습니다. 계속 지켜봐 주세요!,"Esta funcion se encuentra bajo desarrollo. El acceso al multiverso estara disponible en el futuro cercano. Por favor, estate atento!",この機能は開発中です。 マルチバースへのアクセスは、近い将来利用可能になります。 乞うご期待！
skip_cool_down_txt,"To skip the cooldown, you will have to pay {{fees}} BCMC, would you like to proceed?","Để bỏ qua cooldown, bạn cần trả phí bằng BCMC, bạn có muốn tiếp tục?",要跳过冷却时间，您需要支付 {{费}} BCMC，您要继续吗？,"재사용 대기 중입니다. {{fee}} BCMC, 계속하시겠습니까?","Para saltear el periodo de enfriamiento, necesitarás pagar comisiones en BCMC, queres proceder?",クールダウンをスキップするには、{{料金}} BCMCを支払う必要があります。続行しますか？
pay_fee_bcmc,Pay {{fees}} BCMC,Trả phí bằng BCMC,支付 {{费}} BCMC,BCMC {{fees}} 지불하기,Pagar comisiones en BCMC,{{料金}} BCMCを支払う
strong,STRONG,Mạnh,强,강한,Fuerte,強い
weak,WEAK,Yếu,弱,약한,débil,弱い
not_enough_stamina,Not enough stamina,Không đủ stamina,体力不够,체력 부족합니다,No tienes suficiente stamina,スタミナが足りない
full_in,Full in,Hồi đủ sau,满载而归,꽉 찼습니다,Completo en,フルイン
run_out,Run out,Hết,用完,다 떨어졌습니다,Se han agotado,なくなる
match,MATCH,Trận đấu,比赛,매치,Coincide,マッチ
claimed,CLAIMED,Đã nhận,已领取,청구했다,Reclamado,主張
block,BLOCK,Khối,区块,블록,Bloque,ブロック
required_stamina,Required stamina,Lượng stamina yêu cầu,所需的耐力,필수체력,Stamina requerida,必要なスタミナ
how_to_lower_required_stamina,How to lower required stamina?,Làm sao để hạ mức yêu cầu stamina,如何降低所需的耐力？,어떻게 하면 필요한 체력을 낮출 수 있을까?,¿Cómo bajar la stamina requerida?,必要なスタミナを下げる方法は？
how_web_calculate,How Rewards are calculated,Phần thưởng được tính như thế nào,如何计算奖励,보상계산 방법,Como es calculada la recompensa,報酬の計算方法
find_out_more_on_wiki,Find out more,Tìm hiểu thêm,了解更多,자세히 알아 보기,Encuentra mas información,詳細をご覧ください
block_reward,Block reward,Phần thưởng của khối,块奖励,블록보상,Recompensa de Bloque,報酬をブロックする
difficulty,Difficulty,Độ khó,困难,어려움,Dificultad,難易度
tier_bonus,Tier bonus,Thưởng thêm của tier,等级奖金,보너스 티어,Bonus de rango,ティアボーナス
chain_match,Chain match,Khớp chuỗi,链式匹配,체인 매치,Coincidencia de Red,チェーンマッチ
rewards,,Phần thưởng,,보상,Recompensas,
reward_tips,Receive one of the following rewards,Hãy nhận một trong các phần thưởng sau,获得以下奖励之一,보상 팁,Recibe una de las siguientes recompensas:,次のいずれかの報酬を受け取る
energy_rewards,Energy reward,Phần thưởng Năng lượng,能量奖励,에너지 보상,Recompensa de energia,エネルギー報酬
reward_claimed,Reward claimed,Đã nhận thưởng,已领取奖励,보상 청구,Recompensa reclamada,報酬請求
reward_claimed_desc,"You have already successfully claimed this reward. Please find another monster to battle.","Bạn đã nhận thưởng từ con quái này rồi, hãy tìm quái khác để chiến đấu nhé.",您之前已经成功领取过奖励，请再找一个怪物战斗。,이전에 이미 성공적으로 보상을 요청했습니다. 다른 몬스터를 찾아 전투에 참여해 보십시오,"Ya haz reclamado exitosamente esta recompensa anteriormente, Por favor, selecciona otro monstruo para combatir",あなたはすでに以前に報酬を首尾よく主張しました、戦うために別のモンスターを見つけてください。
got_it,Got it!,Đã hiểu!,明白,알랐다,Entendido!,とった！
higher_tier_required,Higher VIP tier required,Yêu cầu tier VIP cao hơn,需要更高的 VIP 等级,VIP티어 필요,Mayor rango requerido,より高いVIP層が必要
higher_tier_required_desc,Looks like you need to reach a higher VIP tier to battle this monster. Click on view tiers for more info.,Có vẻ bạn cần đạt tier VIP cao hơn để đánh con quái này. Bấm vào để xem thêm thông tin về tier VIP,看起来你需要达到更高的 VIP 等级才能与这个怪物战斗。 单击查看层以获取更多信息。,이 몬스터와 싸우려면 더 높은 VIP 등급에 도달해야 하는 것 같습니다. 자세한 내용은 티어 보기를 클릭하십시오,Parece que necesitas un rango mas alto para pelear contra este monstruo. Clikea en la pestaña de vista de rangos para mayor informacion,このモンスターと戦うには、より高いVIPティアに到達する必要があるようです。 詳細については、ビューティアをクリックしてください。
done,Done,Xong,完毕,완료,Realizado,終わり
view_tier,View tiers,Xem tier,查看层级,티어 보기,Ver rangos,ティアを表示
not_enough_stamina_desc,This monster does not have enough stamina,Quái không đủ stamina,这个怪物没有足够的耐力,이 몬스타의 체력이 부족함,Este monstruo no tiene suficiente stamina,このモンスターは十分なスタミナを持っていません
out_of_time,This monster ran away,Quái đã xổng mất,这个怪物跑了,몬스타 도망,Este monstruo se ha escapado,この怪物は逃げた
out_of_time_desc,"This monster ran away, try another monster","Quái đã xổng mất rồi, hãy thử lại với con khác nhé",这个怪物跑了，试试另一个怪物,이 몬스타가 도망했습니다. 다른 몬스타를 골라 주십시오,"Este monstruo se ha escapado, por favor intenta con otro monstruo",このモンスターは逃げました、別のモンスターを試してください
how_to_calculate_stamina,How Stamina is calculated,Cách tính stamina,耐力是如何计算的,체력 계산 방법,Como la stamina es calculada,スタミナの計算方法
upgrade_tier_msg,Upgrade your tier to lower the Stamina requirement,Nâng tier VIP để giảm yêu cầu về stamina,升级您的等级以降低耐力要求,스타미나 요구 사항을 낮추려면 등급을 업그레이드하십시오,Aumenta tu rango para disminuir la cantidad de Stamina requerida,ティアをアップグレードしてスタミナ要件を下げる
tier_discount,Tier Discount,Giảm do tier,等级折扣,티어 디스카운트,Descuento de rango,ティア割引
convert_stamina,Recover Stamina,Hồi stamina,恢复体力,티어 할인,Recuperar Stamina,スタミナを回復する
monster_too_strong,Monster is too strong,Quái quá mạnh,怪物太强了,몬스타가 너무 쌔다,Monstruo demasiado fuerte,モンスターが強すぎる
convert_stamina_title,Convert Energy to Stamina,Đổi Năng lượng sang Stamina,将能量转化为耐力,에너지를 체력으로 변환,Convierte tu energia a Stamina,エネルギーをスタミナに変換する
