key,en,vi,zh,kor,es,ja,De,,,,
success,Success!,Thành công!,成功,성공,Éxito!,成功！,Erfolg!,,,,
oops,Oops!,Ối! / Úi!,Oops!,oops,Ups,おっとっと！,,,,,
2021_bcm_innovation,© 2021 BCM Innovation Ltd.,,© 2021 BCM 创新有限公司,© 2021 BCM Innovation Ltd.,© 2021 BCM Inovaciones Ltd.,©2021BCMイノベーション株式会社,,,,,
add_to_metamask,Add to MetaMask,Thêm vào MetaMask,加到小狐狸钱包,메타마스크에 추가,Agrega a MetaMask,メタマスクに追加,,,,,
terms_of_service,"Yes, I have read and agreed with the","(Vâng,) Tôi đã đọc và đồng ý với",是的，我同意,"예, 서비스 약관에 동의합니다.","Si, estoy de acuerdo con el",はい、私は読んで同意しました,,,,,120
tos,Terms of Service,Điều khoản dịch vụ,条款和条件,서비스 약관,Términos y condiciones,利用規約,,,,,
agree_whitepaper,"Yes, I have read and agreed with the","(Vâng,) Tôi đã đọc và đồng ý với",我同意,동의합니다,"Si, he leido y estoy de acuerdo con lo mencionado en el documento",はい、私は読んで同意しました,,,,,
whitepaper,White Paper,,白纸,화이트 페이퍼,Documento,白書,,,,,
message_title,System Message,Tin nhắn hệ thống,系统讯息,시스템 메세지,Mensaje del sistema,システムメッセージ,,,,,
unsupported_chain,"This chain is not supported at the moment. 
 If you are using a browser extension wallet, click on one of the chains below to add it and switch to it.","Chain (chuỗi) này hiện chưa được hỗ trợ. 
Vui lòng chuyển đến các chain khác bằng cách sử dụng thanh trên cùng ở phía trên.
Đối với yêu cầu thêm chain mới, vui lòng gửi email tới contact@bcmhunt.com","此链暂时还不被支持。
请使用以上顶部栏切换到我们目前支持的区块链。 
对于新的区块链支持的请求，请发送电子邮件至 contact@bcmhunt.com。","이 체인은 현재 지원되지 않습니다. 
 위의 상단 바를 사용하여 지원되는 체인 중 하나로 전환하십시오. 
 새로운 체인 요청은 contact@bcmhunt.com으로 이메일을 보내주십시오.","Esta red no se encuentra disponible actualmente. 
Por favor, Cambie a una de las redes blockchain compatibles utilizando la barra superior de arriba. 
Para una nueva solicitud de red, envíe un correo electrónico a contact@bcmhunt.com.",「現在、このチェーンはサポートされていません。ブラウザ拡張機能ウォレットを使用している場合は、以下のチェーンの1つをクリックして、追加して切り替えます。」,,,,,
play_now,Play Now,Chơi ngay!,开始游戏,지금 플레이,Jugar,今すぐプレイ,,,,,
fight_for,FIGHT FOR A,,,Fight For,Pelea por,のために戦う,,,,,
reward,REWARD!!,,,보상 받기,RECOMPENSA!!,報酬！！,,,,,
watch_trailer,Watch trailer,Xem Trailer,观看预告视频,트레일러 보기,Ver el Trailer,予告編を見ます,,,,,
blockchain_monster_coin,BLOCKCHAIN MONSTER COIN,BLOCKCHAIN MONSTER COIN,区块链魔物币（BCMC),블록체인 몬스터 코인,MONEDA MONSTRUO BLOCKCHAIN (BCMC),ブロックチェーンモンスターコイン,,,,,
bcmc_token_explain,BCMC is an ERC-20 token that users can play-to-earn and spend in-game. Users are free to move BCMC onto any chain without needing to bridge their tokens via 3rd party platforms.,BCMC là token ERC-20 mà người dùng có thể chơi để kiếm tiền và chi tiêu trong trò chơi. Người dùng có thể tự do di chuyển BCMC vào bất kỳ chain nào mà không cần kết nối thông qua các nền tảng của bên thứ ba.,区块链魔物币 (BCMC) 是一种 ERC-20 代币，用户可以通过玩游戏来赚取和消费此币。用户可以自由地将 BCMC 转移到任何链上，而无需通过第三方平台桥接他们的代币。,BCMC는 ERC-20 토큰으로 사용자가 게임 내에서 적립 및 지출을 위해 플레이할 수 있습니다. 사용자는 제 3자 플랫폼을 통해 토큰을 연결할 필요 없이 BCMC를 체인으로 자유롭게 이동시킬 수 있습니다.,BCMC es un token ERC-20 que los usuarios pueden jugar para ganar y gastar en el juego. Los usuarios son libres de mover BCMC a cualquier cadena sin la necesidad de unir sus tokens a través de plataformas de terceros.,BCMCは、ユーザーがゲーム内でプレイして獲得および使用できるERC-20トークンです。ユーザーは、サードパーティのプラットフォームを介してトークンをブリッジすることなく、BCMCを任意のチェーンに自由に移動できます。,,,,,
buy_bcmc_on,Buy BCMC Via,Mua BCMC qua,通过以下方式购买 BCMC,구매하기,Comprar BCMC por medio de,BCMC経由で購入,,,,,
token_address_tab,Token Address,Địa chỉ token,代币地址,토큰 주소,Dirección del token,トークンアドレス,,,,,
add_bcmc_to_metamask,Add BCMC to MetaMask,Thêm BCMC vào MetaMask,添加 BCMC 至 小狐狸钱包,마스크에 bcmc 추가,Agregá BCMC a tu billetera de MetaMask,メタマスクにBCMCを追加する,,,,,
add_bcmc_to_metamask_intro," Add our token to MetaMask, so you don't have to add it in manually later.",,将我们的BCMC添加到 小狐狸钱包，这样以后不必手动添加它。,,Agregá nuestro token a MetaMask asi no tenes que agregarlo manualmente después,トークンをメタマスクに追加して、後で手動で追加する必要がないようにします。,,,,,
gameintro_multichain_header,LIFE ON THE MULTI-CHAIN,Cuộc sống trên multichain,多重区块链的生活体验,"멀티체인 내
 생명",La vida en la Blockchain,マルチチェーンでの生活,,,,,
gameintro_multichain_info,"NFT Monsters are born, caught, and traded across multiple chains.","Quái vật NFT được sinh ra, bắt và giao dịch qua nhiều chain.",非同质化代币魔物会在不同的链中诞生、捕获及交易。,태어난 NFT 몬스터를 잡아서 여러 체인에서 거래할 수 있습니다.,"Los monstruos NFT nacen, son capturados y comercializados a través de múltiples cadenas.",NFTモンスターは、複数のチェーンで生まれ、捕らえられ、取引されます。,,,,,
gameintro_world_header,A COMPETITIVE & THRILLING EXPERIENCE,Cạnh tranh giật gân,刺激的竞争环境,"경쟁력 있는
 스릴러",UNA COMPETENCIA SIN PRECEDENTES,競争力のあるスリリングな体験,,,,,
gameintro_world_info,Battle other Monsters directly on the blockchain and earn attractive rewards.,Chiến đấu với những con quái vật khác trực tiếp trên blockchain và kiếm phần thưởng hấp dẫn.,在不同的区块链直接与魔物战斗并获得诱人的奖励。,블록체인에서 직접 다른 몬스터와 싸우고 매력적인 보상을 받으세요.,Lucha contra otros monstruos directamente en la cadena de bloques y obtenga recompensas.,ブロックチェーン上で他のモンスターと直接戦い、魅力的な報酬を獲得してください。,,,,,
gameintro_blockchain_header,EVOLVE WITH THE BLOCKCHAIN,Phát triển cùng với blockchain,与区块链一起进化,블록체인과 함께 진화,Evoluciona junto a la Blockchain,ブロックチェーンで進化する,,,,,
gameintro_blockchain_info,"When each new block is generated, a new Monster will be born for you to catch or battle!","Khi mỗi khối mới được tạo ra, một con quái vật mới có thể được sinh ra để bạn bắt (hoặc chiến đấu!)",每产生一个新的方块，就有可能诞生一个新的怪物供你捕捉或战斗！,"각각의 새로운 블록이 생성될 때, 잡거나 전투할 수 있는 새로운 몬스터가 탄생할 수 있습니다.","Cuando se genera un nuevo bloque, es posible que nazca un nuevo monstruo para que lo atrapes",新しいブロックが生成されるたびに、キャッチまたはバトルするための新しいモンスターが生まれる可能性があります。,,,,,
attributes,Attributes,,,기부,Atributos,属性,,,,,
catch,CATCH,Bắt,捕捉,잡기,Captura,捕まえる,,,,,
battle,BATTLE,"Trận Đấu (n)
Đấu (v)",战斗,전투,Batallas,戦い,,,,,
metaverse,MULTIVERSE,METAVERSE,元界,메타버스,Metaverso,多元宇宙,,,,,
how_it_works,HOW IT WORKS,Cách hoạt động,如何运作,작동법,Como Funciona,使い方,,,,,
born_chain,Origin Chain,Chuỗi ban đầu,起源链,오리진 체인,Red originaria,オリジンチェーン,,,,,
born_block,Origin Block,Khối ban đầu,原点块,오리진 블록크,Bloque originario,オリジンブロック,,,,,
species,Species,Loài,种类,종,Especies,種族,,,,,
type,Elemental Type,Loại nguyên tố,元素类型,종류,Tipo de elemento,元素型,,,,,
class,Class,Lớp,级,클라스,Clase,クラス,,,,,
rarity,Rarity,Độ hiếm,稀有度,레리티,Rareza,希少,,,,,
level,Level,Cấp (độ),等级,레벨,Nivel,レベル,,,,,
battle_power,Battle Power,,战斗力,전투력,Poder de batalla,バトルパワー,,,,,
perfection,Perfection,Độ hoàn hảo,完美率,완벽함,Perfección,完璧,,,,,
health,Health,Sức khỏe (HP-máu),,건강,Salud,ヒース,,,,,
speed,Speed,Tốc độ,速度,속도,Velocidad,スピード,,,,,
attack,Attack,Tấn công,攻击,공격,Ataque,アタック,,,,,
defense,Defense,Phòng thủ,防御,방어,Defensa,防衛,,,,,
s_attack_s_defense,S.Attack & S.Defense,Đòn [tấn công/phòng thủ] đặc biệt,特殊攻击和特殊防御,특별 공격 및 특별 방어,Ataque y defensa especial,S.アタック＆S.防衛,,,,,
general_info,General Stats,Chỉ số chung,一般统计,일반정보,Estadísticas generales,一般的な統計,,,,,
battle_info,Battle Stats,Chỉ số chiến đấu,战斗数据,전투정보,Estadísticas de batalla,バトル統計,,,,,
success_rate,Success Rate,Tỉ lệ thành công,成功率,성공률,Probabilidad de éxito,成功率,,,,,
success_rate_intro,The success rate when catching Monsters,Tỷ lệ bắt quái thành công,成功抓到怪物的几率。,괴물을 성공적으로 잡을 가는성,Probabilidades de éxito en atrapar a un monstruo,モンスターを捕まえるチャンス。,,,,,
how_to_play,HOW TO PLAY,Hướng dẫn chơi,怎么玩,플레이 방법,Como jugar,遊び方,,,,,
how_to_play_info,Start playing to earn with BCMH in 4 easy steps. It's that simple!,Bắt đầu chơi và kiếm tiền với BCMH trong 4 bước đơn giản. Chỉ đơn giản như vậy!,通过 4 个简单的步骤开始游戏 并赚取BCMC。 就是这么简单。,간단한 4단계를 통해 BCMH로 플레이를 시작하고 수익을 올리세요. 간단합니다.,Empiece a jugar y ganar dinero con BCMH  siguiendo una serie de pasos,4つの簡単なステップでBCMHで稼ぐためにプレーを始めましょう。 とても簡単です！,,,,,
metamask_title,Connect Wallet,Kết nối ví,连接钱包,지갑 연결,Conectar billetera,ウォレットを接続する,,,,,
metamask_info,Connect your wallet via MetaMask or WalletConnect.,Kết nối ví MetaMask hoặc Walletconnect,连接您的 MetaMask 或 WalletConnect 钱包,메타마스크 또는 WalletConnect를 통해 지갑 연결,Conecte su billetera a través de metamask o WalletConnect,メタマスクまたはウォレットコネクトを介してウォレットを接続します。,,,,,
link_to_bcm_title,Select Chain,Chọn chain,选择区块链,체인 선택,Seleccionar red,チェーンを選択,,,,,
link_to_bcm_info,Select your favourite blockchain to play on.,Chọn blockchain yêu thích để chơi,选择您最喜欢的区块链进行游戏,플레이할 블록체인 선택,Selecciona tu red favorita para jugar,プレイするお気に入りのブロックチェーンを選択します。,,,,,
catch_monster_title,Hunt Monsters,Săn quái vật,狩猎魔物,몬스터 사냥,Caza monstruos,モンスターを狩る,,,,,
catch_monster_info,Hunt NFT Monsters from the Multiverse or purchase them from the Marketplace.,Săn quái vật NFT trên timeline hoặc mua chúng từ marketplace,从时间线狩猎或在商城购买NFT魔物,타임라인에서 NFT 몬스터를 사냥하거나 마켓플레이스에서 구매하세요.,Caza monstruos NFT de la línea de tiempo o cómpralos en el mercado,マルチバースからNFTモンスターを狩るか、マーケットプレイスから購入してください。,,,,,
earn_rewards_title,Earn Rewards,Kiếm phần thưởng,赚取奖励,보상 받기,Obten recompensas,報酬を獲得する,,,,,
earn_rewards_info,Battle Monsters to earn BCMC ERC-20 tokens.,Chiến đấu quái vật để kiếm token BCMC ERC20,和魔物对决以赚取BCMC ERC20 代币,BCMC ERC20 토큰을 얻기 위해 몬스터와 전투하세요,Pelea contra monstruos para obtener el token BCMC ERC20,モンスターと戦い、BCMCERC-20トークンを獲得します。,,,,,
partners,OUR PARTNERS,Đối tác của chúng tôi,我们的伙伴,당사 파트너,Nuestros Socios,私たちのパートナー,,,,,
parners_info,We pride ourselves on creating meaningful partnerships through collaborations that bring added value to our community and players.,Chúng tôi tự hào về việc tạo ra các mối quan hệ đối tác và hợp tác có ý nghĩa mang lại giá trị gia tăng cho cộng đồng và người chơi của chúng tôi.,我们建立的良好伙伴及合作关系将为我们的社区和玩家带来更多好处。,우리는 커뮤니티와 플레이어에게 가치를 가져다주는 의미 있는 파트너십을 맺는 데 자부심을 느낍니다.,Nos enorgullecemos de crear asociaciones y colaboraciones significativas que aportan valor agregado a nuestra comunidad y jugadores.,私たちは、コミュニティとプレーヤーに付加価値をもたらすコラボレーションを通じて、有意義なパートナーシップを構築することに誇りを持っています。,,,,,
v1,COBBLESTONE,COBBLESTONE,COBBLESTONE,COBBLESTONE,COBBLESTONE,コブレストン,,,,,
launch,LAUNCH,Ra mắt,发行,런치,Lanzamiento,発売,,,,,
v1_time,Testnet: Mid Sep 2021 / VIP Early Access: Oct 2021,Testnet: Giữa tháng 9 năm 2021 / Quyền VIP truy cập sớm: tháng 10 năm 2021,测试网 ：2021年九月中  / VIP 抢先体验  ：2021 年十月,테스트넷: 2021년 9월 중순 / VIP 얼리 액세스: 2021년 10월,Red de prueba: mediados de septiembre de 2021 / Acceso anticipado VIP: octubre de 2021,テストネット：2021年9月中旬/ VIP早期アクセス：2021年10月,,,,,
details,Details,Chi tiết,详细,세부 사항,Detalles,詳細,,,,,
multichain_launch,Multi-chain Fair Launch,Ra mắt đồng loạt tại các chain,多重区块链公平启动,멀티체인 공정 런치,Lanzamiento Justo,マルチチェーンフェアローンチ,,,,,
farm_bcmc,Catch & Play-to-Earn for BCMC,Bắt & Play2earn. Farm BCMC!,捕捉或Play2Earn的狩猎。 一起来刷 BCMC!,캐칭 & Play2Earn 사냥. BCMC 파밍!,"Atrapa, batalla  y juega para ganar BCMC",BCMCのキャッチ＆プレイトゥアーン,,,,,
native_onchain_marketplace,Native On-chain Marketplace (All Chains),On-chain marketplace (tất cả các chain),本地区块链商场（支援所有的链）,네이티브 온체인 마켓플레이스 (모든 체인),Mercado nativo en todas las cadenas,ネイティブオンチェーンマーケットプレイス（すべてのチェーン）,,,,,
web_responsive_mobile_support,Mobile Responsive Web Support,Hỗ trợ chơi trên web mobile,网页响应式移动支持,웹 반응형 모바일 지원,Brindamos soporte a dispositivos moviles y es adaptable a la web,モバイルレスポンシブウェブサポート,,,,,
v2,SANDSTONE,SANDSTONE,SANDSTONE,SANDSTONE,SANDSTONE,砂岩,,,,,
v2_time,Q1 2022,Quý 1 năm 2022,2022 年第一季度,2022년 1분기,Q1 2022,2022年第1四半期,,,,,
nft_flash_loan,NFT Flash Loan,NFT Flash Loan,NFT 闪电贷,NFT 플래시론,Prestamos de NFTs,NFTフラッシュローン,,,,,
autochess_pvp,Autochess PvP,,,오토체 PvP,Batallas en el PvP,オートチェスPvP,,,,,
achievements_and_quests,Achievements & Quests,Thành tích & Nhiệm vụ,成就与任务,성과 & 퀘스트,Misiones y logros,実績とクエスト,,,,,
staking_and_farming,Staking & Farming,,质押和耕作,스테이킹 및 파밍,Staking y farming,ステーキング＆農業,,,,,
monster_skills,Monster Skills,Kỹ năng của quái (vật),,괴물 기능,Habilidades de los monstruos,モンスタースキル,,,,,
v3,GRANITE,GRANITE,GRANITE,GRANITE,GRANITE,花崗岩,,,,,
v3_time,Q2 2022,Quý 2 năm 2022,2022 年第二季度,2022년 2분기,Q2 2022,2022年第2四半期,,,,,
metaverse_land,Multiverse Land NFT,Metaverse Land NFT,元界土地 NFT,메타버스 랜드 NFT,Tierras NFT del metaverso,マルチバースランドNFT,,,,,
breeding_mons,Monster Breeding / Evolution,Nhân giống Quái vật,繁殖魔物,브리딩 몬스,Cría de monstruos,モンスターの繁殖/進化,,,,,
cross_chain_marketplace,Cross-chain Marketplace,BCM Cross-chain Marketplace,BCM 多重链市场,BCM 크로스체인 마켓플레이스,Mercado de cadenas cruzadas de BCM,クロスチェーンマーケットプレイス,,,,,
ambros_chain,Ambros Chain,,,,Red de ambros,アンブロスチェーン,,,,,
v4,PRISMARINE,PRISMARINE,海晶石,프리즈머린,PRISMARINE,プリズマリン,,,,,
v4_time,Q3 2022,Quý 3 năm 2022,2022 年第三季度,2022년 3분기,Q3 2022,2022年第3四半期,,,,,
metaverse_battles,Multiverse Battles,Trận chiến Metaverse,元界战斗,메타버스 전투,Batallas del metaverso,多元宇宙の戦い,,,,,
mining_on_additional_chains,Mining on Additional Chains,Tích hợp thêm nhiều chains mới,在附加链上挖矿,새로운 체인 내 채굴,Minería en cadenas adicionales,追加のチェーンのマイニング,,,,,
tournaments,Tournaments,Giải đấu offline,锦标赛,토너먼트,Torneos,トーナメント,,,,,
native_mobile_app,Native Mobile Apps,Ứng dụng di động,原生移动应用,네이티브 모바일 앱,Aplicaciones móviles nativas,ネイティブモバイルアプリ,,,,,
v5,QUARTZ,QUARTZ,QUARTZ,QUARTZ,QUARTZ,石英,,,,,
v5_time,Q1 2023,Quý 1 năm 2023,2023 年第一季度,2023년 1분기,Q1 2023,2023年第1四半期,,,,,
generic_cross_chain_marketplace,Multiverse Battles,Các trận chiến trong metaverse,多元宇宙之战,다중우주전투,Batallas del metaverso,マルチバースバトル,,,,,
generic_bridge,Mining on Additional Chains,Mining ở các chuỗi bổ sung,在其他链上挖矿,추가 체인에서 마이닝,Puente generico,追加のチェーンのマイニング,,,,,
ambros_universe,Ambros Universe,Vũ trụ Ambros,安布罗斯宇宙,마브로스 우주,Universo de ambros,アンブロス宇宙,,,,,
roadmap_title,ROAD MAP,Lộ trình,路线图,로드맵,Roadmap,ロードマップ,,,,,
catch_power,CATCH POWER,Lực bắt,捕捉能力,파워 캐치,Poder de captura,キャッチパワー,,,,,
catch_power_info,Catch rarer Monsters and boost your chances of success!,Bắt quái vật hiếm hơn và tăng cơ hội thành công của bạn!,捕捉稀有魔物并增加捕获成功的机会！,희귀 몬스터를 잡아 성공 확률을 높이세요!,Atrapa monstruos más raros y aumenta tus posibilidades de éxito,レアなモンスターを捕まえて成功のチャンスを増やしましょう！,,,,,
insurance,INSURANCE,Bảo hiểm,保险,보험,Seguro de vida,保険,,,,,
insurance_info,Prevent your Monsters from dying or losing experience with battle insurance.,Ngăn quái vật của bạn chết hoặc mất kinh nghiệm với một mạng sống thêm.,使用额外生命以防止你的魔物死亡或失去经验值。,추가 생명으로 몬스터가 죽거나 경험치를 잃는 것을 방지하세요.,Evita que tu monstruo muera o pierda experiencia con una vida extra.,モンスターが死んだり、戦闘保険の経験を失ったりするのを防ぎます。,,,,,
governance,GOVERNANCE,QUẢN TRỊ,治理,거버넌스,Gobernanza,支配,,,,,
governance_info,Cast your vote on ecosystem design and reward balancing.,Bỏ phiếu cho thiết kế hệ sinh thái và cân bằng phần thưởng.,对生态系统设计和奖励平衡进行投票。,생태계 디자인과 보상 잔여에 투표하세요.,Emite tu voto sobre el diseño del ecosistema y el equilibrio de recompensas.,エコシステムの設計と報酬のバランスに投票してください。,,,,,
view_tokenomics_capitalize,View Tokenomics,xem tokenomics,查看代币经济学,토크노믹스 보기,Ver Tokenomics,トークンミクスを見る,,,,,
naka,"Co-Founder 
Ex-Facebook Tech Lead","Người đồng sáng lập
Cựu trưởng nhóm kỹ thuật tại Facebook ","联合创始人
  前 Facebook 技术主管 ","공동 창업자 
 전 페이스북 기술 책임자","Cofundador. 
Ex-líder tecnológico de Facebook",「共同 - 創設者元フェイスブックテックリード」,,,,,
jake,"Co-Founder 
Ex-Google Senior Engineer","Người đồng sáng lập
Cựu kỹ sư cấp cao của Google ","联合创始人
  前谷歌高级工程师 ","공동 창업자 
 전 구글 엔지니어","Cofundador. 
Ex ingeniero sénior de Google",「元グーグル シニアエンジニアの共同創設者」,,,,,
congle,"COO 
Ex-Garena Operation Lead","COO
Cựu quản lý điều hành tại Garena ","首席运营官
  前 Garena 运营主管 ","COO
 Garena 전 운영자","Cofundador. 
Ex-líder de operaciones de Garena",COO元ガレナオペレーションリード,,,,,
