s,en,vi,Cn,kor,es,ja
tutorial,tutorial,Hướng dẫn,教程,두도리오,Tutorial,チュートリアル
discord,discord,Discord,不和谐,불화,Discord,不和
help,help,Giúp đỡ,救命,헬프,Ayuda,ヘルプ
oops_500,"Oops, something went wrong!","Oops, có vấn đề",哎呦，出事了！,웁스! 문제가 발생했습니다!,"Ups, algo anduvo mal!",おっと！何かが間違っていた！
oops_500_title,An unexpected error occurred,Trang web gặp vấn đề chưa xác định,发生了一个意料之外的问题,예상치 못한 오류가 발생했습니다,Ha ocurrido un error inesperado,予期しないエラーが発生しました
retry,Retry,Thử lại,重试,재시도,Reintentar,リトライ
home,Home,Trang chủ,首页,홈,Inicio,ホームホーム
cancel,Cancel,Huỷ,取消,취소,Cancelar,キャンセル
confirm,Confirm,Xác nhận,确定,확인,Confirmar,確認
share,Share,Chia sẻ,分享,공유하기,Compartir,シェア
copied,Copied,Đã copy,已复制,복사,Copiado,コピー
copy,Copy,Copy,复制,복사하기,copiar,コピー
oops,Oops!,Oops!,哎呦！,웁스!,Ups!,おっとっと！
oops_notsupported,You are currently not connected to Ethereum Mainnet. Please switch to a supported chain.,Hiện tại chúng tôi chưa được kết nối với Etherum Mainnet. Hãy đổi sang một chuỗi được hỗ trợ khác,我们目前没有连接到以太坊主网。 请更改为另一个受支持的线程,현재 이더리움 메인넷에 연결되어 있지 않습니다. 지원되는 체인으로 전환하십시오.,Actualmente no estamos conectados con la red principal de Ethereum. Por favor cambie su red actual por una compatible con nuestra página,現在、イーサリアムメインネットに接続していません。 サポートされているチェーンに切り替えてください。
oops_intro,Please install a wallet to view the content of this page.,Hãy thêm ví để xem nội dung trang này,请安装钱包以查看此页面的内容。,이 페이지의 내용을 보려면 월렛을 설치하십시오.,Por favor instale una billetera para ver el contenido de esta pagina,このページのコンテンツを表示するには、ウォレットをインストールしてください。
install_walletconnect,Install WalletConnect,Cài WalletConnect,安装,월렛커넥트 설치,Instale WalletConnect,ウォレットコネクトをインストールします
install_metamask,Install MetaMask,Cài MetaMask,安装小狐狸钱包,메타마스크 설치,Instale MetaMask,メタマスクをインストールする
error404_title,Page not found!,Không tìm thấy trang!,页面未找到,페이지를 찾을 수 없습니다!,Pagina no encontrada!,ページが見つかりません！
error404_lead,The page that you are looking for does not exist.,Đường dẫn bạn đang truy cập không tồn tại.,您访问的路径不存在,찾고 있는 페이지가 존재하지 않습니다.,La pagina que esta buscando no existe,お探しのページがありません。
go_back,Go back,Quay lại,,돌아가기,Vuelve atras,戻る
bcmc_faucet,BCMC Faucet,Nhận BCMC,领取BCMC,,Faucet de BCMC,BCMC蛇口
claim_test_coins,Claim test tokens,Nhận test tokens,领取公测代币,테스트 토큰 청구,Reclame los tokens de prueba,テストトークンを要求する
checkout_faucet_guide,Take a look at <linkGuide> our Medium guide </linkGuide> on how to claim {{tokenName}} tokens from the official testnet faucet.,Take a look at <linkGuide> our guide </linkGuide> to understand how to claim other native tokens from their official testnet faucets.,查看 <linkGuide> 我们的指南 </linkGuide> 以了解如何从他们的官方测试网水龙头中声明其他原生代币。,공식 테스트넷 수도꼭지에서 다른 기본 토큰을 청구하는 방법을 이해하려면 <linkGuide> 가이드 </linkGuide>를 살펴보십시오.,Heche un vistazo a nuestra guía para entender como reclamar otros tokens nativos de nuestra faucet de prueba oficial,公式のテストネットの蛇口から{{トークン名}}トークンを要求する方法については、<リンクガイド>中規模ガイド</ リンクガイド>をご覧ください。
claim_bcmc_limit,You can claim a maximum of {{maximumAmount}} BCMC per account.,You can claim a maximum of {{maximumAmount}} BCMC per account every 24 hours.,您每 24 小时最多可以为每个账户申领 {{maximumAmount}} BCMC。,24시간마다 계정당 최대 {{maximumAmount}} BCMC를 청구할 수 있습니다.,Podes reclamar un máximo de {{maximumAmount}}BCMC por cuenta,アカウントごとに最大{{最大金額}} BCMCを請求できます。
bcmc_claim_already,You can only claim testnet BCMC once per account.,You can only claim testnet BCMC once per account.,每个账户只能申领一次测试网 BCMC。,testnet BCMC는 계정당 한 번만 신청할 수 있습니다.,Podes reclamar tokens de prueba BCMC por única vez,テストネット BCMCを請求できるのは、アカウントごとに1回のみです。
claim,Claim,Nhận,领取,청구하기,Reclamar,請求
